TABLE_SCHEMA                                                                                                                     TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        ORDINAL_POSITION
dbo                                                                                                                              dwFullOpportunity                                                                                                                cNumberOfVehicleTradeIns                                                                                                         tinyint                                                                                                                                        16
dbo                                                                                                                              dwFullOpportunity                                                                                                                bNewProspect                                                                                                                     bit                                                                                                                                            17
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtProspectIn                                                                                                                     smalldatetime                                                                                                                                  18
dbo                                                                                                                              dwFullOpportunity                                                                                                                lCurTaskID                                                                                                                       bigint                                                                                                                                         19
dbo                                                                                                                              dwFullOpportunity                                                                                                                bBeBack                                                                                                                          bit                                                                                                                                            20
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtBeBack                                                                                                                         smalldatetime                                                                                                                                  21
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtEntry                                                                                                                          smalldatetime                                                                                                                                  22
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtLastEdit                                                                                                                       smalldatetime                                                                                                                                  23
dbo                                                                                                                              dwFullOpportunity                                                                                                                lPurchaseDetailsID                                                                                                               int                                                                                                                                            24
dbo                                                                                                                              dwFullOpportunity                                                                                                                lVehicleID                                                                                                                       int                                                                                                                                            25
dbo                                                                                                                              dwFullOpportunity                                                                                                                lVehicleOwnerID                                                                                                                  int                                                                                                                                            26
dbo                                                                                                                              dwFullOpportunity                                                                                                                szLegacyDealID                                                                                                                   varchar                                                                                                                                        27
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtSold                                                                                                                           smalldatetime                                                                                                                                  28
dbo                                                                                                                              dwFullOpportunity                                                                                                                bDelivered                                                                                                                       bit                                                                                                                                            29
dbo                                                                                                                              dwFullOpportunity                                                                                                                curPurchasePrice                                                                                                                 money                                                                                                                                          30
dbo                                                                                                                              dwFullOpportunity                                                                                                                curDealerProfit                                                                                                                  money                                                                                                                                          31
dbo                                                                                                                              dwFullOpportunity                                                                                                                curFrontGross                                                                                                                    money                                                                                                                                          32
dbo                                                                                                                              dwFullOpportunity                                                                                                                curBackGross                                                                                                                     money                                                                                                                                          33
dbo                                                                                                                              dwFullOpportunity                                                                                                                curReserve                                                                                                                       money                                                                                                                                          34
dbo                                                                                                                              dwFullOpportunity                                                                                                                curTotalGross                                                                                                                    money                                                                                                                                          35
dbo                                                                                                                              dwFullOpportunity                                                                                                                curResidual                                                                                                                      money                                                                                                                                          36
dbo                                                                                                                              dwFullOpportunity                                                                                                                bLeasePurchase                                                                                                                   tinyint                                                                                                                                        37
dbo                                                                                                                              dwFullOpportunity                                                                                                                curDownPayment                                                                                                                   money                                                                                                                                          38
dbo                                                                                                                              dwFullOpportunity                                                                                                                dFinanceRate                                                                                                                     decimal                                                                                                                                        39
dbo                                                                                                                              dwFullOpportunity                                                                                                                curFinanceAmount                                                                                                                 money                                                                                                                                          40
dbo                                                                                                                              dwFullOpportunity                                                                                                                cTermMonths                                                                                                                      tinyint                                                                                                                                        41
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtFirstPayment                                                                                                                   smalldatetime                                                                                                                                  42
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtLastPayment                                                                                                                    smalldatetime                                                                                                                                  43
dbo                                                                                                                              dwFullOpportunity                                                                                                                curMonthlyPayment                                                                                                                money                                                                                                                                          44
dbo                                                                                                                              dwFullOpportunity                                                                                                                curFinalPayment                                                                                                                  money                                                                                                                                          45
dbo                                                                                                                              dwFullOpportunity                                                                                                                lPurchaseMileage                                                                                                                 int                                                                                                                                            46
dbo                                                                                                                              dwFullOpportunity                                                                                                                lEstimatedMiles                                                                                                                  int                                                                                                                                            47
dbo                                                                                                                              dwFullOpportunity                                                                                                                szBankName                                                                                                                       varchar                                                                                                                                        48
dbo                                                                                                                              dwFullOpportunity                                                                                                                szNewUsed                                                                                                                        varchar                                                                                                                                        49
dbo                                                                                                                              dwFullOpportunity                                                                                                                cPaymentDueDate                                                                                                                  tinyint                                                                                                                                        50
dbo                                                                                                                              dwFullOpportunity                                                                                                                lAllowedLeaseMiles                                                                                                               int                                                                                                                                            51
dbo                                                                                                                              dwFullOpportunity                                                                                                                curLifePremium                                                                                                                   money                                                                                                                                          52
dbo                                                                                                                              dwFullOpportunity                                                                                                                curAHPremium                                                                                                                     money                                                                                                                                          53
dbo                                                                                                                              dwFullOpportunity                                                                                                                bApproved                                                                                                                        bit                                                                                                                                            54
dbo                                                                                                                              dwFullOpportunity                                                                                                                nliDataSourceID                                                                                                                  smallint                                                                                                                                       55
dbo                                                                                                                              dwFullOpportunity                                                                                                                szDataSource                                                                                                                     varchar                                                                                                                                        56
dbo                                                                                                                              dwFullOpportunity                                                                                                                szLegacySalespersonName                                                                                                          varchar                                                                                                                                        57
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtPost                                                                                                                           smalldatetime                                                                                                                                  58
dbo                                                                                                                              dwFullOpportunity                                                                                                                nliDeliveryType                                                                                                                  smallint                                                                                                                                       59
dbo                                                                                                                              dwFullOpportunity                                                                                                                szDeliveryType                                                                                                                   varchar                                                                                                                                        60
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtAcquired                                                                                                                       smalldatetime                                                                                                                                  61
dbo                                                                                                                              dwFullOpportunity                                                                                                                curActualCashValue                                                                                                               money                                                                                                                                          62
dbo                                                                                                                              dwFullOpportunity                                                                                                                curReconditioning                                                                                                                money                                                                                                                                          63
dbo                                                                                                                              dwFullOpportunity                                                                                                                curCostpd                                                                                                                        money                                                                                                                                          64
dbo                                                                                                                              dwFullOpportunity                                                                                                                lDealCommentsID                                                                                                                  int                                                                                                                                            65
dbo                                                                                                                              dwFullOpportunity                                                                                                                lCompetitorID                                                                                                                    int                                                                                                                                            66
dbo                                                                                                                              dwFullOpportunity                                                                                                                szCompetitor                                                                                                                     varchar                                                                                                                                        67
dbo                                                                                                                              dwFullOpportunity                                                                                                                dwActive                                                                                                                         bit                                                                                                                                            68
dbo                                                                                                                              dwFullOpportunity                                                                                                                lSubSourceID                                                                                                                     int                                                                                                                                            69
dbo                                                                                                                              dwFullOpportunity                                                                                                                szSubSource                                                                                                                      varchar                                                                                                                                        70
dbo                                                                                                                              dwFullOpportunity                                                                                                                lChildCompanyID                                                                                                                  int                                                                                                                                            71
dbo                                                                                                                              dwFullOpportunity                                                                                                                nliInternetUpTierID                                                                                                              smallint                                                                                                                                       72
dbo                                                                                                                              dwFullOpportunity                                                                                                                ETLExecution_ID                                                                                                                  int                                                                                                                                            73
dbo                                                                                                                              dwFullOpportunity                                                                                                                FortellisDealGUID                                                                                                                uniqueidentifier                                                                                                                               74
dbo                                                                                                                              dwFullOpportunity                                                                                                                dtSubStatusChange                                                                                                                datetime                                                                                                                                       75
dbo                                                                                                                              dwFullProductOrService                                                                                                           lProductOrServiceID                                                                                                              int                                                                                                                                             1
dbo                                                                                                                              dwFullProductOrService                                                                                                           szCode                                                                                                                           varchar                                                                                                                                         2
dbo                                                                                                                              dwFullProductOrService                                                                                                           szProductOrService                                                                                                               varchar                                                                                                                                         3
dbo                                                                                                                              dwFullProductOrService                                                                                                           szDefaultUnit                                                                                                                    varchar                                                                                                                                         4
dbo                                                                                                                              dwFullProductOrService                                                                                                           bActive                                                                                                                          bit                                                                                                                                             5
dbo                                                                                                                              dwFullProductOrService                                                                                                           dReorderLevel                                                                                                                    decimal                                                                                                                                         6
dbo                                                                                                                              dwFullProductOrService                                                                                                           lProductOrServiceTypeID                                                                                                          int                                                                                                                                             7
dbo                                                                                                                              dwFullProductOrService                                                                                                           lCompanyID                                                                                                                       int                                                                                                                                             8
dbo                                                                                                                              dwFullProductOrService                                                                                                           dtEntry                                                                                                                          smalldatetime                                                                                                                                   9
dbo                                                                                                                              dwFullProductOrService                                                                                                           dtLastEdit                                                                                                                       smalldatetime                                                                                                                                  10
dbo                                                                                                                              dwFullProductOrService                                                                                                           ETLExecution_ID                                                                                                                  int                                                                                                                                            11
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            lPurchaseDetailsID                                                                                                               int                                                                                                                                             1
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            lDealID                                                                                                                          int                                                                                                                                             2
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            lVehicleID                                                                                                                       int                                                                                                                                             3
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            lVehicleOwnerID                                                                                                                  int                                                                                                                                             4
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            szLegacyDealID                                                                                                                   varchar                                                                                                                                         5
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            dtSold                                                                                                                           smalldatetime                                                                                                                                   6
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            bDelivered                                                                                                                       bit                                                                                                                                             7
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            curPurchasePrice                                                                                                                 money                                                                                                                                           8
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            curDealerProfit                                                                                                                  money                                                                                                                                           9
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            curFrontGross                                                                                                                    money                                                                                                                                          10
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            curBackGross                                                                                                                     money                                                                                                                                          11
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            curReserve                                                                                                                       money                                                                                                                                          12
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            curTotalGross                                                                                                                    money                                                                                                                                          13
dbo                                                                                                                              dwFullPurchaseDetails                                                                                                            curResidual                                                                                                                      money                                                                                                                                          14
